,R2OOS,R2OOS_Reduction,R2OOS_Normalized
chpm,0.1259017623720864,0.0,0.0
chtx,0.1259017623720864,0.0,0.0
depr,0.1259017623720864,0.0,0.0
ep,0.1259017623720864,0.0,0.0
gma,0.1259017623720864,0.0,0.0
grltnoa,0.1259017623720864,0.0,0.0
lev,0.1259017623720864,0.0,0.0
lgr,0.1259017623720864,0.0,0.0
ni,0.1259017623720864,0.0,0.0
noa,0.1259017623720864,0.0,0.0
op,0.1259017623720864,0.0,0.0
pctacc,0.1259017623720864,0.0,0.0
pm,0.1259017623720864,0.0,0.0
rd_sale,0.1259017623720864,0.0,0.0
ffi49,0.1259017623720864,0.0,0.0
tms,0.1259017623720864,0.0,0.0
dfy,0.1259017623720864,0.0,0.0
d/p,0.1259017623720864,0.0,0.0
ntis,0.1259017623720864,0.0,0.0
tbl,0.1259017623720864,0.0,0.0
cash,0.1259017623720864,0.0,0.0
b/m,0.1259017623720864,0.0,0.0
sgr,0.1259017623720864,0.0,0.0
rsup,0.1259017623720864,0.0,0.0
roe,0.1259017623720864,0.0,0.0
roa,0.1259017623720864,0.0,0.0
rna,0.1259017623720864,0.0,0.0
rdm,0.1259017623720864,0.0,0.0
sp,0.1259017623720864,0.0,0.0
shrcd,0.1259017623720864,0.0,0.0
ato,0.1259017623720864,0.0,0.0
agr,0.1259017623720864,0.0,0.0
re,0.1259017623720864,0.0,0.0
mom6m,0.1259017623720864,0.0,0.0
mom60m,0.1259017623720864,0.0,0.0
mom36m,0.1259017623720864,0.0,0.0
mom1m,0.1259017623720864,0.0,0.0
mom12m,0.1259017623720864,0.0,0.0
alm,0.1259017623720864,0.0,0.0
maxret,0.1259017623720864,0.0,0.0
beta,0.1259017623720864,0.0,0.0
baspread,0.1259017623720864,0.0,0.0
me_ia,0.1259017623720864,0.0,0.0
hire,0.1259017623720864,0.0,0.0
herf,0.1259017623720864,0.0,0.0
bm_ia,0.1259017623720864,0.0,0.0
ill,0.1259017623720864,0.0,0.0
rvar_ff3,0.1259017623720864,0.0,0.0
rvar_capm,0.1259017623720864,0.0,0.0
seas1a,0.1259017623720864,0.0,0.0
bm,0.1259017623720864,0.0,0.0
acc,0.1259017623720864,0.0,0.0
pscore,0.1259017623720864,0.0,0.0
nincr,0.1259017623720864,0.0,0.0
cinvest,0.1259017623720864,0.0,0.0
rvar_mean,0.1259017623720864,0.0,0.0
abr,0.1259017623720864,0.0,0.0
sue,0.1259017623720864,0.0,0.0
turn,0.1259017623720864,0.0,0.0
dy,0.1259017623720864,0.0,0.0
me,0.1259017623720864,0.0,0.0
zerotrade,0.1259017623720864,0.0,0.0
std_turn,0.1259017623720864,0.0,0.0
std_dolvol,0.1259017623720864,0.0,0.0
dolvol,0.1259017623720864,0.0,0.0
exchcd,0.1259017623720864,0.0,0.0
svar,0.023263686496604374,0.10263807587548202,0.11400051114986932
e/p,-0.6717901237869892,0.7976918861590756,0.8859994888501307
adm,0.1587099963880303,0.0,0.0
cash,0.1587099963880303,0.0,0.0
cashdebt,0.1587099963880303,0.0,0.0
cfp,0.1587099963880303,0.0,0.0
chcsho,0.1587099963880303,0.0,0.0
chpm,0.1587099963880303,0.0,0.0
chtx,0.1587099963880303,0.0,0.0
depr,0.1587099963880303,0.0,0.0
ep,0.1587099963880303,0.0,0.0
gma,0.1587099963880303,0.0,0.0
grltnoa,0.1587099963880303,0.0,0.0
lev,0.1587099963880303,0.0,0.0
lgr,0.1587099963880303,0.0,0.0
ni,0.1587099963880303,0.0,0.0
noa,0.1587099963880303,0.0,0.0
op,0.1587099963880303,0.0,0.0
pctacc,0.1587099963880303,0.0,0.0
pm,0.1587099963880303,0.0,0.0
ffi49,0.1587099963880303,0.0,0.0
tms,0.1587099963880303,0.0,0.0
d/p,0.1587099963880303,0.0,0.0
ntis,0.1587099963880303,0.0,0.0
tbl,0.1587099963880303,0.0,0.0
b/m,0.1587099963880303,0.0,0.0
shrcd,0.1587099963880303,0.0,0.0
sp,0.1587099963880303,0.0,0.0
rsup,0.1587099963880303,0.0,0.0
roe,0.1587099963880303,0.0,0.0
roa,0.1587099963880303,0.0,0.0
rna,0.1587099963880303,0.0,0.0
rdm,0.1587099963880303,0.0,0.0
rd_sale,0.1587099963880303,0.0,0.0
sgr,0.1587099963880303,0.0,0.0
alm,0.1587099963880303,0.0,0.0
ato,0.1587099963880303,0.0,0.0
bm,0.1587099963880303,0.0,0.0
bm_ia,0.1587099963880303,0.0,0.0
herf,0.1587099963880303,0.0,0.0
hire,0.1587099963880303,0.0,0.0
me_ia,0.1587099963880303,0.0,0.0
baspread,0.1587099963880303,0.0,0.0
beta,0.1587099963880303,0.0,0.0
ill,0.1587099963880303,0.0,0.0
maxret,0.1587099963880303,0.0,0.0
mom1m,0.1587099963880303,0.0,0.0
mom36m,0.1587099963880303,0.0,0.0
mom60m,0.1587099963880303,0.0,0.0
agr,0.1587099963880303,0.0,0.0
rvar_capm,0.1587099963880303,0.0,0.0
rvar_ff3,0.1587099963880303,0.0,0.0
re,0.1587099963880303,0.0,0.0
seas1a,0.1587099963880303,0.0,0.0
acc,0.1587099963880303,0.0,0.0
pscore,0.1587099963880303,0.0,0.0
nincr,0.1587099963880303,0.0,0.0
cinvest,0.1587099963880303,0.0,0.0
sue,0.1587099963880303,0.0,0.0
rvar_mean,0.1587099963880303,0.0,0.0
dolvol,0.1587099963880303,0.0,0.0
abr,0.1587099963880303,0.0,0.0
dy,0.1587099963880303,0.0,0.0
me,0.1587099963880303,0.0,0.0
zerotrade,0.1587099963880303,0.0,0.0
std_turn,0.1587099963880303,0.0,0.0
std_dolvol,0.1587099963880303,0.0,0.0
turn,0.1587099963880303,0.0,0.0
exchcd,0.1587099963880303,0.0,0.0
mom6m,0.158720001795969,1.0005407938717958e-05,3.435933499720523e-05
mom12m,0.15877764742113865,6.76510331083513e-05,0.00023231881435657956
dfy,0.15715598328924008,0.001554013098790219,0.005336599664742892
svar,0.015537602948163198,0.1431723934398671,0.4916649334722075
e/p,0.012314944497444191,0.1463950518905861,0.5027317887136957
