,R2OOS,R2OOS_Reduction,R2OOS_Normalized
me,0.0856153981788702,0.00014428934805776894,0.0016540454283976926
bm,0.0855944763887938,0.0001652111381341692,0.0018938801195622205
op,0.08594351312455295,0.00018382559762497586,0.0021072649746281384
dolvol,0.08555243265086543,0.0002072548760625459,0.002375843989031917
tms,0.08602126702990653,0.0002615795029785595,0.0029985885090492033
mom12m,0.08608172255143354,0.00032203502450556254,0.003691613880285217
herf,0.08540003545172326,0.0003596520752047194,0.004122832896631688
pm,0.08613105091675821,0.0003713633898302371,0.004257084292716096
mom36m,0.08538163352479544,0.00037805400213253293,0.004333781407511867
turn,0.08518993923193274,0.0005697482949952315,0.006531248324006145
dfy,0.08494996264058763,0.0008097248863403461,0.009282194178151447
tbl,0.08676845898104768,0.0010087714541197057,0.011563943107683564
me_ia,0.08471558865763928,0.0010440988692886899,0.011968915133296783
e/p,0.08725373089176769,0.0014940433648397144,0.017126805482908125
b/m,0.08737912051594143,0.0016194329890134584,0.018564195958538032
bm_ia,0.08346363817848867,0.0022960493484392996,0.026320514849377627
svar,0.011405118222771904,0.07435456930415607,0.8523556110931978
exchcd,0.1094538204720562,0.0,0.0
sue,0.1094538204720562,0.0,0.0
cinvest,0.1094538204720562,0.0,0.0
nincr,0.1094538204720562,0.0,0.0
acc,0.1094538204720562,0.0,0.0
tms,0.1094538204720562,0.0,0.0
ato,0.1094538204720562,0.0,0.0
cash,0.1094538204720562,0.0,0.0
cashdebt,0.1094538204720562,0.0,0.0
cfp,0.1094538204720562,0.0,0.0
chcsho,0.1094538204720562,0.0,0.0
chpm,0.1094538204720562,0.0,0.0
chtx,0.1094538204720562,0.0,0.0
grltnoa,0.1094538204720562,0.0,0.0
lev,0.1094538204720562,0.0,0.0
lgr,0.1094538204720562,0.0,0.0
op,0.1094538204720562,0.0,0.0
pctacc,0.1094538204720562,0.0,0.0
rd_sale,0.1094538204720562,0.0,0.0
rdm,0.1094538204720562,0.0,0.0
roe,0.1094538204720562,0.0,0.0
rsup,0.1094538204720562,0.0,0.0
sgr,0.1094538204720562,0.0,0.0
ntis,0.1094538204720562,0.0,0.0
abr,0.1094538204720562,0.0,0.0
dolvol,0.1094538204720562,0.0,0.0
agr,0.1094538204720562,0.0,0.0
ill,0.1094538204720562,0.0,0.0
re,0.1094538204720562,0.0,0.0
hire,0.1094538204720562,0.0,0.0
shrcd,0.1094538204720562,0.0,0.0
zerotrade,0.1094538204720562,0.0,0.0
pscore,0.10945566503468085,1.8445626246421654e-06,1.9269719493754954e-05
seas1a,0.10945613303976942,2.3125677132140865e-06,2.4158860506346146e-05
depr,0.10945781772863983,3.997256583621045e-06,4.175841583361009e-05
baspread,0.10945870051157303,4.880039516819146e-06,5.0980645141168375e-05
adm,0.10945933591039614,5.5154383399314e-06,5.761850981676345e-05
ni,0.10944677544845893,7.045023597274103e-06,7.359773354005383e-05
gma,0.10944541568328492,8.404788771287919e-06,8.780288609523272e-05
noa,0.10944537460529435,8.44586676185255e-06,8.823201837026248e-05
alm,0.10946286124006055,9.040768004342503e-06,9.444681417937282e-05
mom60m,0.1094635953074461,9.774835389886327e-06,0.00010211544652612638
roa,0.10946385634081324,1.0035868757030109e-05,0.00010484240179247133
mom12m,0.10946860566230676,1.4785190250554692e-05,0.00015445746595091055
herf,0.10943775868676786,1.606178528834601e-05,0.00016779375931212423
ffi49,0.10947570577635901,2.1885304302804443e-05,0.0002286307167436627
bm,0.10942796123966747,2.585923238873633e-05,0.00027014542515271843
rna,0.10941823738192424,3.5583090131963147e-05,0.00037172831998422774
std_turn,0.10941727602756224,3.6544444493968875e-05,0.00038177136685206824
ep,0.1094107856336145,4.3034838441702306e-05,0.0004495750126084982
maxret,0.10951080948757497,5.698901551876023e-05,0.0005953510759683721
std_dolvol,0.10938940879261838,6.441167943782578e-05,0.0006728939306841649
beta,0.10938702329417238,6.679717788382611e-05,0.0006978146817029232
mom1m,0.10938483408525046,6.89863868057472e-05,0.0007206848414226719
rvar_capm,0.1095239358809108,7.011540885459855e-05,0.000732479473869944
pm,0.10952708780863019,7.326733657397888e-05,0.0007654069343994191
dy,0.10937443637439637,7.938409765984034e-05,0.0008293073239878354
rvar_ff3,0.10956615504464817,0.00011233457259196555,0.0011735333213302858
mom36m,0.10933328125028419,0.00012053922177202026,0.0012592453953646338
sp,0.10958800140506886,0.00013418093301265088,0.0014017572003366943
mom6m,0.10931892079709671,0.00013489967495949884,0.0014092657313668306
me,0.10924742690267009,0.00020639356938612075,0.0021561459254640057
me_ia,0.10966200296160833,0.00020818248955212226,0.002174834361050332
turn,0.1092417480504505,0.0002120724216057024,0.0022154715823194102
dfy,0.1091418052376324,0.0003120152344238125,0.0032595510528093032
d/p,0.10983648088548248,0.00038266041342627233,0.003997564912993419
rvar_mean,0.10868447924366842,0.0007693412283877876,0.008037130031781652
b/m,0.11075988494815259,0.0013060644760963802,0.013644153773319363
bm_ia,0.1078974296749956,0.0015563907970606028,0.016259255002435948
e/p,0.11238477830730309,0.0029309578352468835,0.03061903921217489
tbl,0.1124096666386164,0.0029558461665601943,0.030879041858150748
svar,0.025817324465745917,0.08363649600631029,0.8737311468591678
shrcd,0.13919812674079868,0.0,0.0
sue,0.13919812674079868,0.0,0.0
nincr,0.13919812674079868,0.0,0.0
pctacc,0.13919812674079868,0.0,0.0
lgr,0.13919812674079868,0.0,0.0
abr,0.13919816896531967,4.2224520990785663e-08,2.8405406356943937e-07
acc,0.13919762085890697,5.058818917103025e-07,3.4031838290803724e-06
exchcd,0.1391970763801269,1.0503606717726655e-06,7.06601780268059e-06
rvar_ff3,0.139196961488246,1.165252552670637e-06,7.838921908503996e-06
sgr,0.1391969035804651,1.2231603335743912e-06,8.22848086836975e-06
rsup,0.13919514374990194,2.982990896738258e-06,2.006726579548539e-05
hire,0.13920216792272033,4.041181921654591e-06,2.718596018460086e-05
std_turn,0.13920711750876402,8.990767965344482e-06,6.048296381439948e-05
cashdebt,0.1391853874066067,1.2739334191991247e-05,8.570043092244639e-05
ni,0.13918146412380195,1.6662616996732105e-05,0.00011209325663293676
ep,0.13921600866323613,1.788192243745712e-05,0.00012029580475055419
tms,0.13917999006607107,1.8136674727609048e-05,0.00012200958199475472
dy,0.13917865239851246,1.9474342286218693e-05,0.00013100837930049558
seas1a,0.1391713704557298,2.6756285068874064e-05,0.00017999568311253397
cfp,0.1391711323268997,2.6994413898973058e-05,0.00018159763051786785
beta,0.13922872007452303,3.0593333724349137e-05,0.00020580839186864266
agr,0.1392292665711966,3.1139830397930446e-05,0.00020948480067602327
rdm,0.13922944997508369,3.132323428500783e-05,0.00021071860080391886
pscore,0.13923007307529411,3.194633449543627e-05,0.00021491033922107686
gma,0.13923584939521605,3.772265441737144e-05,0.00025376897178344145
cinvest,0.13916002948506867,3.809725573000744e-05,0.00025628900096496664
chtx,0.13915898395281345,3.9142787985224636e-05,0.00026332253689903144
baspread,0.13923959463311997,4.146789232128967e-05,0.00027896404849904043
ffi49,0.13924023638315142,4.210964235273895e-05,0.000283281248551322
roe,0.13924024694661874,4.212020582006204e-05,0.00028335231142540793
zerotrade,0.13924409755371892,4.5970812920237414e-05,0.0003092562309572088
re,0.13924451863349896,4.6391892700281545e-05,0.0003120889314781825
lev,0.13914780995218567,5.031678861300293e-05,0.000338492608937043
d/p,0.13925661215715912,5.848541636044313e-05,0.00039344484642844796
depr,0.13927361752330147,7.549078250279617e-05,0.0005078438553899861
cash,0.13927662472144597,7.84979806472963e-05,0.000528073968908388
roa,0.1391104486820377,8.767805876097601e-05,0.0005898304656284962
chpm,0.1392901139812488,9.198724045011986e-05,0.0006188193218840223
maxret,0.13929692953395223,9.880279315355178e-05,0.0006646691123719711
chcsho,0.13909729814987515,0.00010082859092352958,0.0006782971198668975
adm,0.13932123894491943,0.00012311220412075663,0.0008282041106664668
ntis,0.13933109762922014,0.00013297088842145754,0.0008945257472736278
op,0.1393394119262681,0.0001412851854694086,0.0009504579356508333
noa,0.1390460624804124,0.0001520642603862754,0.0010229712516058823
grltnoa,0.1390375297466634,0.00016059699413528694,0.0010803729139075514
mom60m,0.13936122055422673,0.00016309381342805018,0.001097169591512556
rd_sale,0.13901082190937442,0.00018730483142426202,0.0012600426776626053
ill,0.139010754734608,0.00018737200619067806,0.0012604945777652486
alm,0.13940829194883253,0.0002101652080338523,0.0014138296885821354
rvar_capm,0.13894953327526594,0.00024859346553274264,0.0016723454145707057
sp,0.13945253490090825,0.000254408160109576,0.0017114622022620363
ato,0.13947923338531298,0.0002811066445143062,0.0018910690470137833
bm,0.1389149928263802,0.00028313391441847635,0.0019047069578939854
rna,0.13891396302484604,0.00028416371595263445,0.0019116346696497087
mom12m,0.13954983535167742,0.0003517086108787426,0.0023660247119030886
dolvol,0.13958844166690976,0.00039031492611107943,0.0026257382732145624
turn,0.1387926900283285,0.0004054367124701752,0.0027274660077853683
mom1m,0.1386621629929552,0.000535963747843482,0.0036055513935627634
me,0.1385731339827312,0.0006249927580674886,0.004204470020377094
herf,0.1385314434187126,0.0006666833220860813,0.004484932032594293
mom6m,0.13848628251858242,0.0007118442222162624,0.0047887397939477255
me_ia,0.13992641064764721,0.0007282839068485369,0.004899333333294606
pm,0.14005219734977992,0.0008540706089812389,0.005745529407172857
std_dolvol,0.14006862186138413,0.0008704951205854572,0.005856020874070486
mom36m,0.13801595048241833,0.001182176258380352,0.007952771568954778
b/m,0.14065101439321648,0.0014528876524178003,0.009773909375294026
e/p,0.1419703444306104,0.002772217689811729,0.01864934595852364
tbl,0.14256711636960084,0.003368989628802166,0.022663968038699262
rvar_mean,0.13445196116851432,0.004746165572284355,0.031928547335680735
bm_ia,0.1338450382671954,0.0053530884736032736,0.03601145727397498
dfy,0.1316876866868104,0.007510440053988265,0.05052445750647108
svar,0.02714242505701636,0.11205570168378232,0.7538244759804197
