,R2OOS,R2OOS_Reduction,R2OOS_Normalized
sue,0.018043841337614164,0.0,0.0
pctacc,0.018043841337614164,0.0,0.0
acc,0.018043989866257104,1.4852864294034873e-07,1.8845404208639927e-05
nincr,0.018043496561239714,3.4477637445018416e-07,4.374543528760703e-05
ntis,0.0180427647874295,1.0765501846643488e-06,0.0001365933397037336
lev,0.018042366792906273,1.4745447078912122e-06,0.0001870911259525949
ffi49,0.01804233626599905,1.505071615115483e-06,0.00019096439843722994
mom60m,0.018042064302193017,1.7770354211466e-06,0.00022547133092724753
std_dolvol,0.018041780445875788,2.0608917383757586e-06,0.00026148719244365425
depr,0.018041136749472386,2.704588141777542e-06,0.0003431597821179989
ni,0.018046780081042768,2.93874342860434e-06,0.00037286954678348
pscore,0.01804079939665859,3.0419409555726418e-06,0.0003859633115318102
lgr,0.018047911347370604,4.070009756440562e-06,0.0005164053038849535
roa,0.018037373118113154,6.468219501010175e-06,0.0008206916093328833
cinvest,0.018050787858882922,6.946521268758055e-06,0.0008813788274241162
seas1a,0.018036676310398514,7.165027215649822e-06,0.0009091029943568252
ill,0.01803555571593851,8.285621675652166e-06,0.0010512846984015332
pm,0.018035438887756827,8.402449857336514e-06,0.0010661079288789446
gma,0.018034610499490178,9.23083812398584e-06,0.0011712143340655247
sp,0.018033951740407783,9.889597206380607e-06,0.001254798085576861
cashdebt,0.018033698871342985,1.0142466271179096e-05,0.001286882265729925
rsup,0.018032546740325395,1.1294597288769026e-05,0.001433065347309105
dolvol,0.01803168112365716,1.2160213957002064e-05,0.00154289531464503
adm,0.018031524902384355,1.2316435229808853e-05,0.0015627167643920295
rdm,0.018029943030312245,1.3898307301918322e-05,0.0017634256513454657
hire,0.01802833014478067,1.5511192833495002e-05,0.0019680695448269195
noa,0.018025539026097492,1.8302311516671388e-05,0.0023222083744657966
tms,0.018025534957691103,1.8306379923060945e-05,0.00232272457633352
roe,0.01802421474938254,1.9626588231624886e-05,0.002490233406428227
